id,size(Mb),processing time(s),photo ownership,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,4.8,26.72,0,10.000000,45.498013,-73.595005,0.000000,0.333585,0.000000
1,4.8,26.72,0,10.000000,45.498013,-73.594005,0.000000,0.333585,0.111195
2,4.8,26.72,1,10.000000,45.499013,-73.595005,0.000000,0.444780,0.000000
3,4.8,26.72,0,10.000000,45.498013,-73.593005,0.000000,0.333585,0.222390
4,4.8,26.72,1,10.000000,45.499013,-73.594005,0.000000,0.444780,0.111195
5,4.8,26.72,2,10.000000,45.497013,-73.595005,0.000000,0.222390,0.000000
6,4.8,26.72,1,10.000000,45.499013,-73.593005,0.000000,0.444780,0.222390
7,4.8,26.72,2,10.000000,45.497013,-73.594005,0.000000,0.222390,0.111195
8,4.8,26.72,3,10.000000,45.500013,-73.595005,0.000000,0.555975,0.000000
9,4.8,26.72,0,10.000000,45.498013,-73.592005,0.000000,0.333585,0.333585
10,4.8,26.72,2,10.000000,45.497013,-73.593005,0.000000,0.222390,0.222390
11,4.8,26.72,3,10.000000,45.500013,-73.594005,0.000000,0.555975,0.111195
12,4.8,26.72,1,10.000000,45.499013,-73.592005,0.000000,0.444780,0.333585
13,4.8,26.72,4,10.000000,45.496013,-73.595005,0.000000,0.111195,0.000000
14,4.8,26.72,3,10.000000,45.500013,-73.593005,0.000000,0.555975,0.222390
15,4.8,26.72,2,10.000000,45.497013,-73.592005,0.000000,0.222390,0.333585
16,4.8,26.72,4,10.000000,45.496013,-73.594005,0.000000,0.111195,0.111195
17,4.8,26.72,5,10.000000,45.501013,-73.595005,0.000000,0.667170,0.000000
18,4.8,26.72,3,10.000000,45.500013,-73.592005,0.000000,0.555975,0.333585
19,4.8,26.72,5,10.000000,45.501013,-73.594005,0.000000,0.667170,0.111195
20,4.8,26.72,0,10.000000,45.498013,-73.591005,0.000000,0.333585,0.444780
21,4.8,26.72,4,10.000000,45.496013,-73.593005,0.000000,0.111195,0.222390
22,4.8,26.72,1,10.000000,45.499013,-73.591005,0.000000,0.444780,0.444780
23,4.8,26.72,6,10.000000,45.495013,-73.595005,0.000000,0.000000,0.000000
24,4.8,26.72,2,10.000000,45.497013,-73.591005,0.000000,0.222390,0.444780
25,4.8,26.72,3,10.000000,45.500013,-73.591005,0.000000,0.555975,0.444780
26,4.8,26.72,5,10.000000,45.501013,-73.593005,0.000000,0.667170,0.222390
27,4.8,26.72,0,10.000000,45.498013,-73.590005,0.000000,0.333585,0.555975
28,4.8,26.72,4,10.000000,45.496013,-73.592005,0.000000,0.111195,0.333585
29,4.8,26.72,1,10.000000,45.499013,-73.590005,0.000000,0.444780,0.555975
30,4.8,26.72,6,10.000000,45.495013,-73.594005,0.000000,0.000000,0.111195
31,4.8,26.72,2,10.000000,45.497013,-73.590005,0.000000,0.222390,0.555975
32,4.8,26.72,3,10.000000,45.500013,-73.590005,0.000000,0.555975,0.555975
33,4.8,26.72,5,10.000000,45.501013,-73.592005,0.000000,0.667170,0.333585
34,4.8,26.72,0,10.000000,45.498013,-73.589005,0.000000,0.333585,0.667170
35,4.8,26.72,4,10.000000,45.496013,-73.591005,0.000000,0.111195,0.444780
36,4.8,26.72,1,10.000000,45.499013,-73.589005,0.000000,0.444780,0.667170
37,4.8,26.72,6,10.000000,45.495013,-73.593005,0.000000,0.000000,0.222390
38,4.8,26.72,2,10.000000,45.497013,-73.589005,0.000000,0.222390,0.667170
39,4.8,26.72,3,10.000000,45.500013,-73.589005,0.000000,0.555975,0.667170
40,4.8,26.72,5,10.000000,45.501013,-73.591005,0.000000,0.667170,0.444780
41,4.8,26.72,0,10.000000,45.498013,-73.588005,0.000000,0.333585,0.778364
42,4.8,26.72,1,10.000000,45.499013,-73.588005,0.000000,0.444780,0.778364
43,4.8,26.72,4,10.000000,45.496013,-73.590005,0.000000,0.111195,0.555975
44,4.8,26.72,6,10.000000,45.495013,-73.592005,0.000000,0.000000,0.333585
45,4.8,26.72,2,10.000000,45.497013,-73.588005,0.000000,0.222390,0.778364
46,4.8,26.72,3,10.000000,45.500013,-73.588005,0.000000,0.555975,0.778364
47,4.8,26.72,5,10.000000,45.501013,-73.590005,0.000000,0.667170,0.555975
48,4.8,26.72,0,10.000000,45.498013,-73.587005,0.000000,0.333585,0.889559
49,4.8,26.72,1,10.000000,45.499013,-73.587005,0.000000,0.444780,0.889559
50,4.8,26.72,4,10.000000,45.496013,-73.589005,0.000000,0.111195,0.667170
51,4.8,26.72,6,10.000000,45.495013,-73.591005,0.000000,0.000000,0.444780
