id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,0,15.00000000,45.49750714,-73.59948214,15.00000000,32.64093896,1.12554962
1,UAV1,1,15.00000000,45.49746205,-73.59937623,15.00000000,27.62794620,12.90194081
2,UAV2,1,15.00000000,45.49744061,-73.59927163,15.00000000,25.24373742,24.53387055
3,UAV3,0,15.00000000,45.49836179,-73.59919226,15.00000000,127.67362020,33.35847799
4,UAV4,0,15.00000000,45.49765480,-73.59917499,15.00000000,49.06071060,35.27908742
5,UAV5,1,15.00000000,45.49919111,-73.59899226,15.00000000,219.89063786,55.59746329
6,UAV6,1,15.00000000,45.49757149,-73.59887600,15.00000000,39.79710742,68.52591541
7,UAV7,0,0.00000000,45.49721359,-73.59879226,0.00000000,0.00000000,77.83644865
8,UAV8,1,15.00000000,45.49754668,-73.59867839,15.00000000,37.03799970,90.49919130
9,UAV9,1,15.00000000,45.49759826,-73.59853731,15.00000000,42.77358715,106.18594643
10,UAV10,1,15.00000000,45.49752187,-73.59848041,15.00000000,34.27941863,112.51336582
11,UAV11,1,0.00000000,45.49721359,-73.59839226,0.00000000,0.00000000,122.31441931
12,UAV12,0,0.00000000,45.49721359,-73.59829226,0.00000000,0.00000000,133.43391198
13,UAV13,0,0.00000000,45.49721359,-73.59819226,0.00000000,0.00000000,144.55340464
14,UAV14,0,15.00000000,45.49749474,-73.59808289,15.00000000,31.26221706,156.71497121
15,UAV15,0,15.00000000,45.49747206,-73.59797611,15.00000000,28.74024830,168.58865549
16,UAV16,0,15.00000000,45.49742809,-73.59787334,15.00000000,23.85093168,180.01637661
17,UAV17,1,15.00000000,45.49917903,-73.59760508,15.00000000,218.54735362,209.84540886
18,UAV18,0,15.00000000,45.49868200,-73.59756990,15.00000000,163.28025305,213.75755565
19,UAV19,0,15.00000000,45.49846355,-73.59772384,15.00000000,138.98958803,196.63987763
20,UAV20,1,15.00000000,45.49759281,-73.59760380,15.00000000,42.16689355,209.98782578
21,UAV21,0,0.00000000,45.49721359,-73.59739226,0.00000000,0.00000000,233.50934596
22,UAV22,0,15.00000000,45.49755909,-73.59730729,15.00000000,38.41748627,242.95851313
23,UAV23,1,0.00000000,45.49721359,-73.59719226,0.00000000,0.00000000,255.74833129
24,UAV24,1,15.00000000,45.49742194,-73.59710060,15.00000000,23.16747656,265.94112489
