id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,1,15.00000000,45.49869828,-73.59721574,15.00000000,165.08996617,253.13794805
1,UAV1,1,0.00000000,45.49721359,-73.59939226,0.00000000,0.00000000,11.11949266
2,UAV2,1,0.00000000,45.49721359,-73.59929226,0.00000000,0.00000000,22.23898533
3,UAV3,0,0.00000000,45.49721359,-73.59919226,0.00000000,0.00000000,33.35847799
4,UAV4,1,0.00000000,45.49721359,-73.59909226,0.00000000,0.00000000,44.47797066
5,UAV5,1,0.00000000,45.49721359,-73.59899226,0.00000000,0.00000000,55.59746332
6,UAV6,1,0.00000000,45.49721359,-73.59889226,0.00000000,0.00000000,66.71695599
7,UAV7,1,0.00000000,45.49721359,-73.59879226,0.00000000,0.00000000,77.83644865
8,UAV8,1,15.00000000,45.49898940,-73.59797234,15.00000000,197.46150446,169.00790251
9,UAV9,0,15.00000000,45.49858334,-73.59807861,15.00000000,152.30892962,157.19128254
10,UAV10,1,0.00000000,45.49721359,-73.59849226,0.00000000,0.00000000,111.19492665
11,UAV11,1,0.00000000,45.49721359,-73.59839226,0.00000000,0.00000000,122.31441931
12,UAV12,1,0.00000000,45.49721359,-73.59829226,0.00000000,0.00000000,133.43391198
13,UAV13,1,0.00000000,45.49721359,-73.59819226,0.00000000,0.00000000,144.55340464
14,UAV14,1,0.00000000,45.49721359,-73.59809226,0.00000000,0.00000000,155.67289731
