id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,0,15.00000000,45.49889728,-73.59721433,15.00000000,187.21792640,253.29484149
1,UAV1,1,0.00000000,45.49721359,-73.59939226,0.00000000,0.00000000,11.11949266
2,UAV2,1,15.00000000,45.49850868,-73.59799717,15.00000000,144.00751147,166.24649676
3,UAV3,0,0.00000000,45.49721359,-73.59919226,0.00000000,0.00000000,33.35847799
4,UAV4,1,15.00000000,45.49741909,-73.59905600,15.00000000,22.85041880,48.51039751
5,UAV5,1,0.00000000,45.49721359,-73.59899226,0.00000000,0.00000000,55.59746332
6,UAV6,0,15.00000000,45.49864597,-73.59762840,15.00000000,159.27375260,207.25261998
7,UAV7,0,15.00000000,45.49732902,-73.59872734,15.00000000,12.83514060,85.05621524
8,UAV8,0,15.00000000,45.49774748,-73.59847243,15.00000000,59.36635701,113.40091185
9,UAV9,0,15.00000000,45.49734993,-73.59851557,15.00000000,15.16016514,108.60302688
10,UAV10,1,15.00000000,45.49812760,-73.59843850,15.00000000,101.63309304,117.17334387
11,UAV11,1,0.00000000,45.49721359,-73.59839226,0.00000000,0.00000000,122.31441931
12,UAV12,1,15.00000000,45.49812760,-73.59823850,15.00000000,101.63309304,139.41232920
13,UAV13,0,15.00000000,45.49739175,-73.59809205,15.00000000,19.81021421,155.69665013
14,UAV14,1,15.00000000,45.49815519,-73.59792610,15.00000000,104.70074066,174.14949858
15,UAV15,0,15.00000000,45.49752223,-73.59771792,15.00000000,34.31881126,197.29799998
16,UAV16,1,0.00000000,45.49721359,-73.59789226,0.00000000,0.00000000,177.91188264
17,UAV17,0,15.00000000,45.49851507,-73.59733675,15.00000000,144.71814182,239.68272488
18,UAV18,1,0.00000000,45.49721359,-73.59769226,0.00000000,0.00000000,200.15086797
19,UAV19,0,0.00000000,45.49721359,-73.59759226,0.00000000,0.00000000,211.27036063
