id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,1,15.00000000,45.49829116,-73.59874625,15.00000000,119.82031109,82.95252304
1,UAV1,1,0.00000000,45.49721359,-73.59939226,0.00000000,0.00000000,11.11949266
2,UAV2,1,0.00000000,45.49721359,-73.59929226,0.00000000,0.00000000,22.23898533
3,UAV3,0,15.00000000,45.49745689,-73.59831637,15.00000000,27.05405396,130.75307224
4,UAV4,1,0.00000000,45.49721359,-73.59909226,0.00000000,0.00000000,44.47797066
5,UAV5,1,0.00000000,45.49721359,-73.59899226,0.00000000,0.00000000,55.59746332
6,UAV6,0,15.00000000,45.50019287,-73.59710470,15.00000000,331.28100491,265.48555858
7,UAV7,1,0.00000000,45.49721359,-73.59879226,0.00000000,0.00000000,77.83644865
8,UAV8,1,15.00000000,45.49804640,-73.59866355,15.00000000,92.60459723,92.14920328
9,UAV9,0,0.00000000,45.49721359,-73.59859226,0.00000000,0.00000000,100.07543398
10,UAV10,0,0.00000000,45.49721359,-73.59849226,0.00000000,0.00000000,111.19492665
11,UAV11,1,15.00000000,45.49773206,-73.59793140,15.00000000,57.65180642,173.56046946
12,UAV12,0,0.00000000,45.49721359,-73.59829226,0.00000000,0.00000000,133.43391198
13,UAV13,1,15.00000000,45.49807417,-73.59792747,15.00000000,95.69255293,173.99726706
14,UAV14,1,15.00000000,45.49811846,-73.59799866,15.00000000,100.61754618,166.08160896
