id,HEAVEN id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,UAV0,1,15.00000000,45.49899464,-73.59942102,15.00000000,198.04383739,7.92175349
1,UAV1,1,15.00000000,45.49790486,-73.59896022,15.00000000,76.86536984,59.16034881
2,UAV2,1,15.00000000,45.49896289,-73.59810274,15.00000000,194.51321670,154.50797262
3,UAV3,1,15.00000000,45.49792544,-73.59874736,15.00000000,79.15455603,82.83007551
4,UAV4,1,15.00000000,45.49849789,-73.59721521,15.00000000,142.80765841,253.19685596
5,UAV5,1,15.00000000,45.49745722,-73.59899226,15.00000000,27.09027895,55.59746332
6,UAV6,0,15.00000000,45.49800609,-73.59892396,15.00000000,88.12155344,63.19209384
7,UAV7,0,15.00000000,45.49745722,-73.59879226,15.00000000,27.09027895,77.83644865
8,UAV8,0,15.00000000,45.49819178,-73.59841837,15.00000000,108.76962021,119.41143496
9,UAV9,1,15.00000000,45.49745722,-73.59859226,15.00000000,27.09027895,100.07543398
10,UAV10,1,15.00000000,45.49787704,-73.59841265,15.00000000,73.77275867,120.04765768
11,UAV11,1,15.00000000,45.49745722,-73.59839226,15.00000000,27.09027895,122.31441931
12,UAV12,1,15.00000000,45.49916877,-73.59758840,15.00000000,217.40585790,211.70002070
13,UAV13,1,15.00000000,45.49765720,-73.59802591,15.00000000,49.32777636,163.05132077
14,UAV14,1,15.00000000,45.49901929,-73.59787558,15.00000000,200.78425203,179.76700746
15,UAV15,0,15.00000000,45.49896793,-73.59743087,15.00000000,195.07404898,229.21608554
16,UAV16,1,15.00000000,45.49757097,-73.59786477,15.00000000,39.73860261,180.96869822
17,UAV17,0,15.00000000,45.49939288,-73.59728376,15.00000000,242.32626183,245.57416955
18,UAV18,1,15.00000000,45.49759341,-73.59766305,15.00000000,42.23419313,203.39965205
19,UAV19,0,15.00000000,45.49761973,-73.59752978,15.00000000,45.16101705,218.21820940
